================================================================================
  Auto-patterns benchmark: detailed breakdown
================================================================================

Metric                   Baseline         Head           Delta
-----------------------------------------------------------------
Wall time (s)               809.6        839.0      +29.4 (+3.6%)
Z3 time (s)                1454.5       1724.4     +269.9 (+18.6%)
Z3 rlimit                  2776.6       2642.0     -134.6 (-4.8%)
Queries                     25889        25864        -25 (-0.1%)

==============================================================================================================
  Per-module breakdown (sorted by rlimit delta)
==============================================================================================================

Module                                       BQ     HQ      DQ      BRlim     HRlim   DRlim(%)    BZ3(s)   HZ3(s)
BigList                                       1      1      +0        0.2       0.2      +0.0%       0.4      0.4
Bijection                                     1      1      +0        0.0       0.0      +0.0%       0.2      0.1
BinarySearchTree                              9      9      +0        0.4       0.4      +0.0%       0.3      0.4
BinarySearchTree0                             6      6      +0        0.0       0.0      +0.0%       0.2      0.2
BinarySearchTreeBasic                        22     22      +0        7.7       7.7      +0.0%       4.8      5.1
BinarySearchTreeFirst                         5      5      +0        0.2       0.2      +0.0%       0.3      0.2
BinaryTrees                                  46     46      +0        1.2       1.2      +0.0%       0.9      1.1
BinderAttributes                             12     12      +0        0.1       0.1      +0.0%       0.2      1.0
BoxBitVec                                     2      2      +0        0.0       0.0      +0.0%       0.2      0.5
Branch                                        1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Break                                        60     60      +0        1.5       1.5      +0.0%       1.3      2.9
Bug.Invariants                               10     10      +0        0.1       0.1      +0.0%       0.2      0.3
Bug019                                        5      5      +0        0.1       0.1      +0.0%       0.6      0.3
Bug022                                        2      2      +0        0.0       0.0      +0.0%       0.4      0.3
Bug024                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug025                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.4
Bug026                                        8      8      +0        0.2       0.2      +0.0%       0.3      0.9
Bug026b                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.3
Bug043                                        2      2      +0        0.0       0.0      +0.0%       0.1      0.1
Bug044                                        2      2      +0        0.0       0.0      +0.0%       0.1      0.4
Bug052                                        3      3      +0        0.0       0.0      +0.0%       0.2      0.3
Bug058                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.4
Bug058b                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug067                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug077                                        5      5      +0        0.0       0.0      +0.0%       0.4      0.5
Bug102                                        5      5      +0        0.0       0.0      +0.0%       0.5      0.9
Bug102b                                       4      4      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1055                                       3      3      +0        0.0       0.0      +0.0%       0.1      0.1
Bug1070                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug1074                                       2      2      +0        0.0       0.0      +0.0%       0.3      0.3
Bug1076                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.3
Bug1097                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.3
Bug11                                         5      5      +0        0.0       0.0      +0.0%       0.2      0.3
Bug110                                        1      1      +0        0.0       0.0      +0.0%       0.1      0.2
Bug1106                                       1      1      +0        0.0       0.0      +0.0%       0.2      0.3
Bug1141b.MyTot                                1      1      +0        0.0       0.0      +0.0%       0.3      0.3
Bug1150                                       2      2      +0        0.0       0.0      +0.0%       0.2      0.2
Bug116                                        1      1      +0        0.0       0.0      +0.0%       0.4      0.4
Bug1191                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.1
Bug120                                        3      3      +0        0.0       0.0      +0.0%       0.3      0.3
Bug124                                        1      1      +0        0.0       0.0      +0.0%       0.3      0.4
Bug125                                        1      1      +0        0.0       0.0      +0.0%       0.1      0.4
Bug1252                                       1      1      +0        0.0       0.0      +0.0%       0.1      0.3
Bug126                                       28     28      +0        0.2       0.2      +0.0%       0.3      0.4
